Date reviewed,Name,Website,Summary / Intro link,Description,Type (best estimate),Blockchain- based?,Technology used (one level up),Notes
2015-12-22,Oraclize,http://www.oraclize.it/home/features,,"""A set of tools and APIs aiming to enhance the power of smart contracts"" integrating Bitcoin and Ethereum - all about being ""provably honest""",Technology/platform,Y,Multiple,(Dev tool)
2015-12-22,Peercoin,https://peercoin.net/,,"Altcoin - ""The world's first Proof-of-Stake coin"" ",Technology/platform,Y,Blockchain,
2015-12-16,Provenance,https://www.provenance.org/,http://www.just-style.com/analysis/supply-chain-mapping-using-the-bitcoin-blockchain_id125834.aspx,Tracks supply chains using Ethereum.,application,Y,Ethereum,
2015-12-22,ripple,https://ripple.com/,,"A ""Global Settlement Network"" - handling transfers between banks without third party - aimed at cross-border/foreign exchange transactions",application,Y,Blockchain,"Uses ""Ripple Consensus Ledger (RCL)"" - Deep dive - https://ripple.com/files/ripple_deep_dive_for_financial_professionals.pdf"
2015-12-22,Rubix,http://rubixbydeloitte.com/,http://rubixbydeloitte.com/offerings.php,Infrastructure to allow big business to develop blockchain based applications,Technology/platform,Y,Blockchain,
2015-12-22,Sia,https://sia.tech/,http://sia.tech/about,Decentralised cloud storage,Technology/platform,Y,Blockchain,
2015-12-22,Skuchain,http://www.skuchain.com/,http://www.coindesk.com/how-bitcoins-technology-could-make-supply-chains-more-transparent/,Supply chain stuff,Technology/platform,Y,Blockchain,Related to thingchain
2015-12-17,Slock.it,Slock.it,http://www.ibtimes.co.uk/ethereum-based-slock-reveals-first-ever-lock-opened-money-1527014,"Service for renting, selling and sharing things that can be locked - combining IoT with blockchain (""the infrastructure of the sharing economy"")",application,Y,Ethereum,opening locks with money - Example - a fully automated AirBnB apartment; also has Ethereum computer for controlling IoT devices (locks) connected to Ethereum 
2015-12-22,Solarcoin,solarcoin.org,http://solarcoin.org/wp-content/uploads/2014/04/Solarcoin-1-page.pdf,"""a digital currency incentivizing solar electricity"" - given to solar energy producers then other buy/sell (miners also get solarcoin)",application,Y,Blockchain,
2015-12-22,Solid,https://github.com/solid/solid,https://github.com/solid/solid-spec,"""a proposed set of conventions for building decentralized social applications on the Linked Data stack""",Technology/platform,?,Unclear,Interesting link to Linked Data
2015-12-16,Storj.io,http://storj.io/,,Decntralised cloud storage built on blockchain,Technology/platform,Y,Florincoin,(Blockchain-as-a-Service) View FAQ - mention combining various technologies when they can (http://storj.io/faq.html#faq-1-7)
2015-12-22,Tahoe-LAFS,https://www.tahoe-lafs.org/trac/tahoe-lafs,,"Distributed cloud storage - ""Least-Authority File Store""",Technology/platform,?,Unclear,
2015-12-22,thingchain,https://www.thingchain.com/,,"Using ""cryptic QR codes"" to track supply chain provenance",Technology/platform,Y,Blockchain,(Dev tool) - Related to skuchain
2015-12-21,Tieron,na,http://www.newsbtc.com/2015/09/04/tieron-using-blockchain-technology-for-government-surveys/,"""Using blockchain for government surveys""",application,Y,Blockchain,Blockchain-as-a-Service - Application?
2015-12-21,TransActive Grid,na,,IN DEV: Project by Io3 energy and ConsenSys to create an Ethereum based transactive energy grid,application,Y,Ethereum,http://lo3energy.com/projects/; https://consensys.net/ventures/spokes/; http://smartgrid.ieee.org/newsletters/september-2015/transactive-control-what-s-in-a-name
2015-12-16,Twister,http://twister.net.co/,,Decentralized microblogging platform using Bitcoin protocol and Bittorrent,Technology/platform,Y,Bitcoin,
2015-12-17,Ujo music,http://ujomusic.com/,,"Shared infrastructure for the distribution of creative digital products (i.e. music) focused on generating greater transparency, fairness and profitability - ""ownership information and use policies on the blockchain""",application,Y,Blockchain,Small existing prototype using a song from Imogen Heap - http://www.digitalmusicnews.com/2015/10/05/im-imogen-heap-and-this-is-why-im-releasing-my-music-on-blockchain/
2015-12-17,WeiFund,http://weifund.io/,,Crowdfunding and equity platform based on Ether currency - benefit appears to be smart contracts which inherently allow for different models of equity share/guarantee on return of funding - especially good for digital asset return,application,Y,Ethereum,
2015-12-22,Woodcoin,http://woodcoin.org/,,Altcoin modelled on renewable resources i.e uses logarithmic money supply curve ,application,Y,Blockchain,uses Pure Skein proof-of-work function
2015-12-22,��nigma,http://enigma.media.mit.edu/,http://www.wired.com/2015/06/mits-bitcoin-inspired-enigma-lets-computers-mine-encrypted-data/,"""a decentralized cloud platform with guaranteed privacy""",Technology/platform,Y,Blockchain,MIT Media Lab involved
2015-12-22,Genecoin,http://genecoin.me/,,"""Make a Backup of Yourself Using Bitcoin"" - Put DNA data on the Bitcoin blockchain",application,Y,Bitcoin,
2015-12-22,Everledger,http://www.everledger.io/,,Storing records of diamonds on a blockchain to prevent insurance fraud and diamond smuggling,application,Y,Blockchain,Uses crystallography to hash physical objects
